935564.7642,1915760.517
935563.8072,1915758.762
935562.838,1915757.013
935561.7351,1915755.349
935560.3182,1915753.949
935558.5872,1915752.966
935556.6993,1915752.323
935554.7168,1915752.097
935552.75,1915752.383
935550.9428,1915753.236
935549.1768,1915754.172
935547.4085,1915755.105
935545.6432,1915756.043
935543.8797,1915756.985
935542.1401,1915757.968
935540.4626,1915759.055
935538.9548,1915760.358
935537.6635,1915761.884
935536.4352,1915763.461
935535.1969,1915765.03
935533.9069,1915766.557
935532.5126,1915767.988
935530.9165,1915769.277
935529.1624,1915770.236
935527.4039,1915771.187
935525.6416,1915772.131
935523.8825,1915773.081
935522.1226,1915774.029
935520.4571,1915775.123
935519.1785,1915776.619
935518.5233,1915778.501
935518.2739,1915780.48
935518.5009,1915782.461
935519.0903,1915784.369
935520.0197,1915786.139
935520.9518,1915787.907
935521.8838,1915789.676
