935536.3948,1915805.752
935538.1508,1915804.796
935539.9068,1915803.841
935541.6628,1915802.885
935543.4188,1915801.93
935545.1748,1915800.974
935546.9308,1915800.018
935548.6868,1915799.063
935550.4428,1915798.107
935551.299,1915797.641
935553.0487,1915796.674
935554.7984,1915795.707
935556.548,1915794.74
935558.2977,1915793.773
935560.0606,1915792.83
935561.8249,1915791.89
935563.5889,1915790.95
935565.352,1915790.007
935567.115,1915789.065
935568.8773,1915788.121
935570.5633,1915787.051
935572.052,1915785.723
935573.1818,1915784.079
935573.8914,1915782.216
935574.1669,1915780.241
935573.9306,1915778.263
935573.2263,1915776.394
935572.329,1915774.608
935571.3852,1915772.846
935570.4408,1915771.084
935569.4961,1915769.322
935568.5513,1915767.56
935567.6048,1915765.799
935566.6582,1915764.038
935565.7116,1915762.277
935564.7642,1915760.517
